src,tgt,src_label,tgt_label,src_cat,tgt_cat,src_summary,tgt_summary,cur_type,new_type,new_weight,hint,impact,note
K066,K020,共鸣,Event→Thought→Emotion,关系与社会,认知,共鸣不是同意，是'我感受到你的感受'。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,相关,17,
K064,K094,场域,沃德利地图（Wardley Maps）,关系与社会,系统与策略,选场域比选努力更优先；好场域让平庸变优秀。,看清演化阶段：Genesis → Custom → Product → Comm,related,,,相关,16,
K043,K062,创造优点,身份认同,关系与社会,身份,优点是行为+反馈累积出来的；先假装并坚持到真实。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,相关,15,
K044,K064,主动性 / 建立联系,场域,关系与社会,关系与社会,网络是被构建的，不是'有'的；联结是双向投资。,选场域比选努力更优先；好场域让平庸变优秀。,related,,,related,13,
K064,K016,场域,环境,关系与社会,行动,选场域比选努力更优先；好场域让平庸变优秀。,环境是隐形的执行系统；改环境比改意志便宜 10 倍。,related,,,相关,13,
K064,K063,场域,赛道选择,关系与社会,系统与策略,选场域比选努力更优先；好场域让平庸变优秀。,努力 ≠ 价值；选对赛道，努力 ×10，×100。,related,,,相关,13,
K108,K103,组织资本,柠檬市场（Lemons）,关系与社会,系统与策略,组织资本是隐形资产：流程、文化、关系网；不维护会衰竭。,劣币驱良币；信息不对称时市场失灵。,related,,,相关,12,
K098,K103,地位,柠檬市场（Lemons）,关系与社会,系统与策略,地位是稀缺品；过度争地位会耗竭，长期建设 > 短期输赢。,劣币驱良币；信息不对称时市场失灵。,related,,,相关,11,
K104,K103,替罪羊,柠檬市场（Lemons）,关系与社会,系统与策略,群体焦虑时常找替罪羊；看清机制就能跳出。,劣币驱良币；信息不对称时市场失灵。,related,,,相关,11,
K044,K109,主动性 / 建立联系,人身依附与角色责任,关系与社会,关系与社会,网络是被构建的，不是'有'的；联结是双向投资。,组织常把角色责任扭曲为人身依附；制度强而人不附。,related,,,related,10,
K064,K075,场域,状态杠杆,关系与社会,关系与社会,选场域比选努力更优先；好场域让平庸变优秀。,你的状态会被周围人放大或缩小；选能放大你的环境。,related,,,related,10,
K066,K034,共鸣,Say No,关系与社会,行动,共鸣不是同意，是'我感受到你的感受'。,说不的成本总被低估；说不的能力 = 自由。,related,,,相关,10,
K098,K099,地位,礼,关系与社会,关系与社会,地位是稀缺品；过度争地位会耗竭，长期建设 > 短期输赢。,礼是关系的语法；不学礼，再亲近也崩。,related,,,related,10,
K099,K104,礼,替罪羊,关系与社会,关系与社会,礼是关系的语法；不学礼，再亲近也崩。,群体焦虑时常找替罪羊；看清机制就能跳出。,related,,,related,10,
K104,K098,替罪羊,地位,关系与社会,关系与社会,群体焦虑时常找替罪羊；看清机制就能跳出。,地位是稀缺品；过度争地位会耗竭，长期建设 > 短期输赢。,related,,,related,10,
K108,K100,组织资本,软预算（Soft Budget）,关系与社会,系统与策略,组织资本是隐形资产：流程、文化、关系网；不维护会衰竭。,不硬约束成本 = 资源被滥用；软预算下没有真效率。,related,,,相关,10,
K109,K108,人身依附与角色责任,组织资本,关系与社会,关系与社会,组织常把角色责任扭曲为人身依附；制度强而人不附。,组织资本是隐形资产：流程、文化、关系网；不维护会衰竭。,related,,,related,10,
K043,K038,创造优点,奖励过程（have → having）,关系与社会,行动,优点是行为+反馈累积出来的；先假装并坚持到真实。,不要等有结果再行动；要把过程的'奖励结构'重设计。,related,,,相关,9,
K066,K099,共鸣,礼,关系与社会,关系与社会,共鸣不是同意，是'我感受到你的感受'。,礼是关系的语法；不学礼，再亲近也崩。,related,,,related,9,
K075,K044,状态杠杆,主动性 / 建立联系,关系与社会,关系与社会,你的状态会被周围人放大或缩小；选能放大你的环境。,网络是被构建的，不是'有'的；联结是双向投资。,related,,,related,9,
K097,K044,托付,主动性 / 建立联系,关系与社会,关系与社会,托付是能动地把事/物交给神/人/制度完成；不是放任。,网络是被构建的，不是'有'的；联结是双向投资。,related,,,related,9,
K097,K108,托付,组织资本,关系与社会,关系与社会,托付是能动地把事/物交给神/人/制度完成；不是放任。,组织资本是隐形资产：流程、文化、关系网；不维护会衰竭。,related,,,related,9,
K098,K003,地位,自尊,关系与社会,情绪,地位是稀缺品；过度争地位会耗竭，长期建设 > 短期输赢。,自尊不是高高在上，是稳定地知道'我值得被善待'。,related,,,相关,9,
K105,K103,摩洛克（Molech）,柠檬市场（Lemons）,关系与社会,系统与策略,在焦虑中向其献祭的伪神；识别'替罪结构'。,劣币驱良币；信息不对称时市场失灵。,related,,,相关,9,
K107,K108,剩余判断权,组织资本,关系与社会,关系与社会,授权时不要给'规则'，给'原则 + 剩余判断空间'。,组织资本是隐形资产：流程、文化、关系网；不维护会衰竭。,related,,,related,9,
K075,K098,状态杠杆,地位,关系与社会,关系与社会,你的状态会被周围人放大或缩小；选能放大你的环境。,地位是稀缺品；过度争地位会耗竭，长期建设 > 短期输赢。,related,,,related,8,
K104,K105,替罪羊,摩洛克（Molech）,关系与社会,关系与社会,群体焦虑时常找替罪羊；看清机制就能跳出。,在焦虑中向其献祭的伪神；识别'替罪结构'。,related,,,related,8,
K105,K099,摩洛克（Molech）,礼,关系与社会,关系与社会,在焦虑中向其献祭的伪神；识别'替罪结构'。,礼是关系的语法；不学礼，再亲近也崩。,related,,,related,8,
K106,K099,第三物（Third Object）,礼,关系与社会,关系与社会,两人争论能化解的，往往是引入'第三物'；避免二元对立。,礼是关系的语法；不学礼，再亲近也崩。,related,,,related,8,
K106,K104,第三物（Third Object）,替罪羊,关系与社会,关系与社会,两人争论能化解的，往往是引入'第三物'；避免二元对立。,群体焦虑时常找替罪羊；看清机制就能跳出。,related,,,related,8,
K109,K100,人身依附与角色责任,软预算（Soft Budget）,关系与社会,系统与策略,组织常把角色责任扭曲为人身依附；制度强而人不附。,不硬约束成本 = 资源被滥用；软预算下没有真效率。,related,,,相关,8,
K043,K015,创造优点,扮演（as if）,关系与社会,身份,优点是行为+反馈累积出来的；先假装并坚持到真实。,假装，直到成真：身份的杠杆在行为而非心态。,related,,,相关,7,
K106,K066,第三物（Third Object）,共鸣,关系与社会,关系与社会,两人争论能化解的，往往是引入'第三物'；避免二元对立。,共鸣不是同意，是'我感受到你的感受'。,related,,,related,7,
K109,K107,人身依附与角色责任,剩余判断权,关系与社会,关系与社会,组织常把角色责任扭曲为人身依附；制度强而人不附。,授权时不要给'规则'，给'原则 + 剩余判断空间'。,related,,,related,7,
K097,K107,托付,剩余判断权,关系与社会,关系与社会,托付是能动地把事/物交给神/人/制度完成；不是放任。,授权时不要给'规则'，给'原则 + 剩余判断空间'。,related,,,related,6,
K084,K020,表征 / 图式 / 心智 / 解释,Event→Thought→Emotion,学习,认知,心智不是事实的拷贝，是'表征+图式'的解释机器。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,相关,16,
K082,K083,ICAP 学习层级,刻意练习,学习,学习,被动-主动-建构-互动四层；越建构越深。,练习不是重复；是跳出舒适区 + 反馈 + 修正。,related,,,related,12,
K082,K086,ICAP 学习层级,默会知识,学习,学习,被动-主动-建构-互动四层；越建构越深。,能做的说不出的知识；高手的核心优势。,related,,,related,12,
K083,K086,刻意练习,默会知识,学习,学习,练习不是重复；是跳出舒适区 + 反馈 + 修正。,能做的说不出的知识；高手的核心优势。,related,,,related,12,
K083,K088,刻意练习,可取的困难,学习,学习,练习不是重复；是跳出舒适区 + 反馈 + 修正。,有些困难提升能力，有些耗竭能力；选前者。,related,,,related,11,
